Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
City and County of San Francisco,3364231,2807560,0:03:35,2593324,80.88,74.98,215,3.58
City and County of San Francisco : Employee Gateway,773329,470482,0:08:46,469758,60.27,60.69,526,8.77
Property Tax Payments | Treasurer & Tax Collector,716113,443887,0:02:46,200758,52.04,43.81,166,2.77
Controller : CCSF ePayroll – Online Paystubs,670127,393553,0:03:43,388054,90.46,58.2,223,3.72
Treasurer & Tax Collector,610008,430768,0:00:40,345770,13.18,16.53,40,0.67
Controller : CCSF ePayroll,532819,320488,0:03:41,314902,89.3,59.36,221,3.68
San Francisco Department of Human Resources : Home,508740,413464,0:01:25,358323,49.32,44.11,85,1.42
San Francisco Department of Human Resources : Classification and Compensation Database,482470,229315,0:02:07,133312,56.18,38.84,127,2.12
Department of Building Inspection,306359,242447,0:02:00,221837,48.55,46.22,120,2
San Francisco Department of Human Resources : Job Seekers,292018,235335,0:01:26,190567,53.12,47.67,86,1.43
Business Registration Renewal | Treasurer & Tax Collector,280888,166703,0:03:31,85226,50.39,42.11,211,3.52
San Francisco Department of Human Resources : Eligible List Postings,279957,211400,0:02:28,105487,66.9,50.49,148,2.47
Board of Supervisors : Home,230486,156311,0:01:15,142213,39.11,32.65,75,1.25
San Francisco Police Department : Home,211583,175261,0:00:57,146635,49.53,43.98,57,0.95
San Francisco Rent Board : Home,203756,139381,0:01:37,121201,39.96,34.03,97,1.62
Mayor's Office of Housing and Community Development : Home,166035,129977,0:01:35,115103,50.64,42.82,95,1.58
Mayor's Office of Housing and Community Development : Current Listings: Below Market Rate Ownership Units,164992,109839,0:01:56,80176,57.92,41.75,116,1.93
City and County of San Francisco : Pet Details Page,164432,149376,0:00:40,9246,65.92,19.12,40,0.67
Department of Public Works,163164,115491,0:02:54,90257,79.69,58.8,174,2.9
San Francisco Port Department : Home,152025,65887,0:00:23,58424,6.34,22.88,23,0.38
Employee Gateway | San Francisco,139586,86654,0:08:41,83230,62.47,60.84,521,8.68
City and County of San Francisco : Minimum Wage Ordinance (MWO),130716,119219,0:04:26,113437,90.58,86.59,266,4.43
Mayor's Office of Housing and Community Development : Below Market Rate (BMR) Affordable Rental Units Available,129540,86916,0:01:52,60796,62.38,44.7,112,1.87
San Francisco Rent Board : Landlord & Tenant Information,122206,56680,0:00:40,27833,48.1,17.84,40,0.67
Doing Business in San Francisco | Treasurer & Tax Collector,117753,76259,0:01:05,22069,30.53,20.93,65,1.08
City and County of San Francisco : Adoption Center,117425,78418,0:00:21,35580,12.36,13.44,21,0.35
San Francisco 311 : SF311,117379,98041,0:00:55,86422,45,41.54,55,0.92
San Francisco Department of Human Resources : Search,114824,104795,0:01:28,30709,55.54,33.21,88,1.47
City and County of San Francisco : Elections Home,113826,83730,0:02:13,74956,55.33,50.57,133,2.22
File Online: Gross Receipts & Payroll Expense Tax | Treasurer & Tax Collector,112300,64311,0:04:54,15143,46.03,39.59,294,4.9
Search | Treasurer & Tax Collector,112021,92259,0:00:36,2185,46.27,9.67,36,0.6
Online Property Tax Payment - FAQ | Treasurer & Tax Collector,108975,84719,0:02:16,38883,54.87,46.61,136,2.27
City and County of San Francisco : Marriage: Civil Ceremony,108099,80147,0:01:55,59257,46.79,37.24,115,1.92
San Francisco Department of Human Resources : Employee Benefits,107176,92751,0:03:30,83426,75.74,71.69,210,3.5
City and County of San Francisco : Dogs - Adoption Center,106603,59244,0:00:43,14827,44.03,24.4,43,0.72
San Francisco Port Department : 2015 Cruise Schedule,105478,52857,0:00:40,43658,20.9,41.21,40,0.67
Permit Services | Department of Building Inspection,104511,79758,0:01:35,53446,47.8,45.86,95,1.58
City and County of San Francisco : Online Reservations,102732,88400,0:04:12,45268,69.96,65.77,252,4.2
Property Taxes | Treasurer & Tax Collector,102337,76418,0:00:20,21401,8.3,6.08,20,0.33
San Francisco Department of Human Resources : Eligible Lists Archive,101834,83229,0:03:39,29984,72.13,61.39,219,3.65
Gross Receipts Tax and Business Registration Fees Ordinance | Treasurer & Tax Collector,100303,56946,0:01:05,18373,23.45,12.49,65,1.08
San Francisco Public Works : Home,98986,84257,0:01:02,72205,52.71,47.48,62,1.03
New Business Registration | Treasurer & Tax Collector,97550,63061,0:02:46,42372,43.87,40.42,166,2.77
City and County of San Francisco : Contact Us,97239,78295,0:01:50,21587,71.53,48.19,110,1.83
San Francisco Fire Department : Home,97105,75539,0:00:58,63652,44.47,39.28,58,0.97
City and County of San Francisco : Marriage: General Information,93441,80923,0:03:18,47468,57.65,49.81,198,3.3
City and County of San Francisco : Animal Care & Control,92890,71081,0:00:46,66124,21.99,26.71,46,0.77
Business Registration | Treasurer & Tax Collector,91848,63970,0:02:40,37148,49.65,40.4,160,2.67
City and County of San Francisco : Marriage,90040,48574,0:00:18,10939,14.99,5.82,18,0.3
Board of Supervisors : Meeting Information,89997,48572,0:01:28,23566,61.5,35.29,88,1.47
City and County of San Francisco : County Clerk,89493,66434,0:00:34,56444,16.84,20.42,34,0.57
Office of the Mayor : Home,89003,73120,0:01:10,64142,55.97,51.04,70,1.17
San Francisco Department of Human Resources : Classification and Compensation,85822,69127,0:00:49,19719,47.3,22.17,49,0.82
Mayor's Office of Housing and Community Development : Affordable Housing Developments in San Francisco,82414,59358,0:02:44,41681,65.87,52.52,164,2.73
2015 Quarterly Filing | Treasurer & Tax Collector,82146,53913,0:04:37,6920,40.79,46.55,277,4.62
Instant Online Permit | Department of Building Inspection,81255,54655,0:03:51,28829,49.91,50.43,231,3.85
Employee Gateway | SFGOV,78978,47763,0:10:15,46263,23.12,59.43,615,10.25
San Francisco Police Department : Contact Us,78084,66787,0:02:16,41259,78.83,67.56,136,2.27
City and County of San Francisco : City Hall,77306,57859,0:00:55,55360,38.07,40.15,55,0.92
City and County of San Francisco : Marriage Information,77219,40511,0:00:19,11183,14.07,6.07,19,0.32
San Francisco District Attorney : Home,76479,56150,0:03:02,49960,57.51,51.07,182,3.03
City and County of San Francisco : Search,74886,69063,0:00:59,4723,67.3,25.83,59,0.98
Controller : Home,74625,62061,0:01:15,53597,62.95,54.82,75,1.25
Mayor's Office of Housing and Community Development : Renters,73675,52859,0:01:34,31599,54.42,39.94,94,1.57
San Francisco Public Works : Permits,73582,30669,0:00:38,17941,14.5,26.67,38,0.63
San Francisco Port Department : Cruises,73241,31898,0:00:26,26074,13.27,30.03,26,0.43
San Francisco Police Department : Reports,72661,60092,0:01:02,43373,43,37.17,62,1.03
San Francisco Public Works : Standard Specifications & Plans,70571,33380,0:00:38,14671,5.92,20.94,38,0.63
City and County of San Francisco : Health Care Security Ordinance (HCSO),70520,50768,0:02:24,41051,47.91,41.2,144,2.4
Search | Department of Building Inspection,68993,57513,0:00:41,1738,37.38,13.61,41,0.68
San Francisco Public Works : Street Sweeping,67201,39344,0:00:36,33609,43.15,45.31,36,0.6
City and County of San Francisco : Cats - Adoption Center,65844,25409,0:00:43,7005,40.39,15.66,43,0.72
City and County of San Francisco : Office of the City Administrator,63587,44534,0:00:49,22106,54.27,34.2,49,0.82
City and County of San Francisco : Paid Sick Leave Ordinance (PSLO),63126,49060,0:04:05,39309,75.53,68.56,245,4.08
Secured Property Tax | Treasurer & Tax Collector,61990,48233,0:00:34,26807,6.4,9.91,34,0.57
Codes | Department of Building Inspection,61913,39160,0:02:45,25927,49.14,49.84,165,2.75
San Francisco Public Works : Subdivisions and Mapping,61591,24449,0:00:51,19528,10.8,29.11,51,0.85
Delinquent Property Tax | Treasurer & Tax Collector,61360,53794,0:02:27,51023,82.65,79.56,147,2.45
City and County of San Francisco : Ethics Commission,61179,41247,0:01:40,31456,31.21,24.02,100,1.67
Contact Us | Treasurer & Tax Collector,61076,44048,0:02:38,7012,53.76,41.88,158,2.63
Filing and Payment Center | Treasurer & Tax Collector,59892,37972,0:00:50,2940,17.22,10.17,50,0.83
City and County of San Francisco : How to Obtain Copies of Marriage Licenses,59568,45058,0:02:37,24947,68.68,54.87,157,2.62
San Francisco Department of Human Resources : Employees,58289,45587,0:00:23,23370,21.54,14.63,23,0.38
Mayor's Office of Housing : Current Listings: Below Market Rate Ownership Units,57434,36716,0:01:23,26620,56.58,36.52,83,1.38
San Francisco Police Department : Career Opportunities,57418,43692,0:01:43,27018,50.94,48.14,103,1.72
San Francisco Department of Human Resources : Getting a Job,56031,46314,0:02:40,27978,69.77,55.17,160,2.67
San Francisco Public Works : Contact Us,55239,27879,0:00:42,13702,25.63,34.18,42,0.7
San Francisco Department of Human Resources : Memoranda of Understanding 2014,53915,47374,0:04:36,27920,84.43,71.45,276,4.6
San Francisco Port Department : Parking Information,53773,14216,0:00:52,9908,9.07,19.74,52,0.87
San Francisco Police Department : SFPD CrimeMAPS,53425,45300,0:02:28,42179,78.67,75.54,148,2.47
For Your Information - Page Not Found | Treasurer & Tax Collector,52649,39244,0:02:39,28006,30.61,29.51,159,2.65
San Francisco Law Library : Home,50839,40209,0:03:13,38498,66.73,60.96,193,3.22
Online Services | Welcome,50602,36570,0:01:27,12973,29.17,44.91,87,1.45
City and County of San Francisco : Local Ballot Measure Status,50543,29172,0:02:41,21197,70.06,49.19,161,2.68
Mayor's Office of Housing : Home,50097,38326,0:01:54,35254,56.14,46.74,114,1.9
San Francisco Department of Emergency Management : Home,48705,38720,0:02:50,34182,64.48,56.53,170,2.83
San Francisco Public Works : 2015 Mechanical Street Sweeping Holiday Schedule,48201,30060,0:00:49,24228,53.57,52.32,49,0.82
San Francisco Rent Board : Forms Center,47955,27529,0:02:29,8993,63.5,35.82,149,2.48
Street Use Permits,47947,41051,0:04:24,38850,85.89,80.02,264,4.4
Mayor's Office of Housing and Community Development : Affordable Housing Resources,47923,37913,0:02:04,15260,69.4,42.74,124,2.07
Payroll Expense Tax | Treasurer & Tax Collector,47587,34205,0:01:17,16580,41.06,24.34,77,1.28
City and County of San Francisco : Forms,46817,33201,0:00:25,2964,44.85,9.04,25,0.42
San Francisco Department of Human Resources : CCSF ePayroll,46082,37802,0:02:45,19252,75.71,67.19,165,2.75
Unsecured Property Tax | Treasurer & Tax Collector,45301,30321,0:01:45,9321,43.05,27.06,105,1.75
Mayor's Office of Housing and Community Development : Current Homeownership Listings,43611,33473,0:00:44,10941,58.68,28.05,44,0.73
San Francisco Police Department : Stations,43132,35673,0:01:18,29905,65.25,54.81,78,1.3
Board of Supervisors : Full Board Meetings,42998,27616,0:01:54,7773,66.98,37.7,114,1.9
2014 Gross Receipts Tax & Payroll Expense Tax Annual Filing | Treasurer & Tax Collector,42912,27606,0:02:55,9021,34.22,28.71,175,2.92
Business Registration Fee Renewal Online Instructions | Treasurer & Tax Collector,42516,32256,0:02:31,2123,40.3,20.22,151,2.52
San Francisco : City Agencies,42162,32633,0:02:52,23325,74.19,63.74,172,2.87
City and County of San Francisco : Wedding Package,41582,27476,0:01:12,15303,41.5,29.73,72,1.2
San Francisco Rent Board : Ordinance & Regulations,41020,28262,0:01:13,8747,41.44,23.52,73,1.22
San Francisco Police Department : Search,40943,38266,0:01:11,6663,92.54,42.65,71,1.18
Mayor's Office of Housing : Below Market Rate (BMR) Affordable Rental Units Available,40414,28716,0:01:15,19287,62.58,41.87,75,1.25
City and County of San Francisco : Home,39919,30016,0:01:10,17515,64.66,44.78,70,1.17
San Francisco Public Works : Services A-Z,39691,17763,0:00:22,4989,16.12,17.07,22,0.37
"City and County of San Francisco : November 3, 2015 Election",38978,32457,0:01:38,27015,67.78,62.03,98,1.63
San Francisco Department of Human Resources : New This Week,38638,34874,0:01:34,6416,49.75,38.71,94,1.57
San Francisco Rent Board : Search,37944,35512,0:01:15,3913,71.86,26.57,75,1.25
San Francisco Police Department : Information,37885,28857,0:00:47,5866,87.18,26.83,47,0.78
Permit and Licenses | Treasurer & Tax Collector,37641,24945,0:01:36,7997,37.82,25.34,96,1.6
San Francisco Fire Department : Employment Opportunities,37173,28141,0:01:15,16130,38.95,33.34,75,1.25
Forms & Handouts | Department of Building Inspection,36734,21992,0:02:23,7291,53.81,37.54,143,2.38
San Francisco Department of Human Resources : Online Tuition Reimbursement Process,36577,32449,0:03:00,25335,85.36,74.58,180,3
Frequently Asked Questions | Department of Building Inspection,36124,31218,0:02:33,21743,76.36,62.24,153,2.55
Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Ownership Program,35975,28120,0:01:36,15096,59.51,39.65,96,1.6
City and County of San Francisco : FAQs,35705,29109,0:02:33,10856,64.4,43.07,153,2.55
San Francisco Police Department : Obtain a Police Report,35267,30178,0:01:39,11925,80.83,53.71,99,1.65
City and County of San Francisco : San Francisco Labor Laws: Citywide,35191,23867,0:00:58,15577,36.65,28.13,58,0.97
City and County of San Francisco : Office of Labor Standards Enforcement,34553,23403,0:01:04,17994,29.16,26.12,64,1.07
Mayor's Office of Housing : Renters,34329,24392,0:01:15,14394,56.84,36.79,75,1.25
Board of Supervisors : Supervisors Information,34305,20563,0:00:52,7791,57.46,27.28,52,0.87
"Department of Children, Youth and Their Families : HOME",34259,26193,0:02:48,24278,57.22,51.28,168,2.8
City and County of San Francisco : Birth & Death Certificate,33862,24703,0:02:21,16832,53.3,45.68,141,2.35
"City and County of San Francisco : November 3, 2015 Election Information for Campaigns and Candidates",33534,25572,0:02:47,17099,69.79,58.43,167,2.78
Business Form Central | Treasurer & Tax Collector,33411,20589,0:02:12,5016,35.19,28.19,132,2.2
Board of Supervisors : Staff,33317,29804,0:01:54,5665,82.29,45.15,114,1.9
City and County of San Francisco : Office of Contract Administration,33041,21391,0:01:07,18563,43.9,36.25,67,1.12
City and County of San Francisco : City Hall Events,32880,23631,0:00:43,9803,40.29,26.08,43,0.72
San Francisco 311 : Blocked Driveway,32847,29640,0:04:29,29029,88.09,86.05,269,4.48
Contact Us | Department of Building Inspection,32610,24499,0:02:43,8829,56.06,53.89,163,2.72
Government | Welcome,32432,23832,0:01:03,4085,30.45,33.98,63,1.05
San Francisco : City and County of San Francisco Holidays,32429,29274,0:03:02,28514,89.77,88.12,182,3.03
San Francisco Police Department : Crime Reports That Can Be Filed Online,32151,29342,0:03:44,7915,86.68,79.96,224,3.73
Board of Supervisors : Committees,31761,20941,0:00:52,4733,66.77,25.3,52,0.87
San Francisco Fire Department : Contact Us,30781,26129,0:02:59,12940,82.62,68.62,179,2.98
City and County of San Francisco : Birth & Death Certificates,30585,22065,0:02:12,15350,46.91,41.37,132,2.2
Inspection Services | Department of Building Inspection,30452,19023,0:00:51,5812,34.77,21.2,51,0.85
San Francisco Department of Human Resources : Forms and Documents,30297,22735,0:02:00,8246,68.7,40.23,120,2
San Francisco District Attorney : Redirect,30187,29737,0:03:43,28750,98.09,94.97,223,3.72
Controller : Accounting Operations & Systems Division (AOSD) & FAMIS Financial System Home,30148,27336,0:03:17,26251,90.39,84.97,197,3.28
Film Commission : HOME,30105,25441,0:01:09,24111,58.72,55.71,69,1.15
City and County of San Francisco : District & Citywide Maps,30004,17163,0:01:18,13652,52.18,44.25,78,1.3
Mayor's Office of Housing and Community Development : Homebuyers,29927,23362,0:01:33,12154,60.87,40.75,93,1.55
San Francisco Rent Board : The Rent Ordinance,29812,16836,0:00:34,6966,29.64,13.12,34,0.57
San Francisco 311 : Track Service Request,29801,22622,0:02:21,15241,76.73,63.26,141,2.35
Mayor's Office of Housing and Community Development : Housing Programs,29479,22341,0:00:31,8155,61.15,22.41,31,0.52
Treasure Island Development Authority,29418,24121,0:00:52,20833,38.52,37.55,52,0.87
San Francisco : Online Services,29246,22927,0:01:39,15140,65.99,55.7,99,1.65
San Francisco Fire Department : H-2: Entry-Level Firefighter,29137,24848,0:02:38,10148,77.79,65.97,158,2.63
Board of Supervisors : Overview,29055,24934,0:01:27,2081,86.4,31.79,87,1.45
Home | Rent Board,28967,19420,0:01:39,15960,30.2,28.14,99,1.65
SF INTRANET,28912,22409,0:01:31,12423,29.75,42.99,91,1.52
Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Rental Program,28799,20512,0:02:04,9294,56.82,41.66,124,2.07
San Francisco Public Works : Search,28349,26709,0:01:35,6406,87.71,46.46,95,1.58
Information Sheets | Department of Building Inspection,28266,18052,0:02:43,3745,49.79,36.7,163,2.72
City and County of San Francisco : Forms - Marriage License,28191,17163,0:01:48,2059,47.69,25.75,108,1.8
San Francisco 311 : Complaints – Noise - 400209,28139,22927,0:03:52,21922,81.89,77.5,232,3.87
San Francisco Rent Board : Contact Us,28037,24393,0:03:38,10683,78.7,67.08,218,3.63
San Francisco Department of Human Resources : Employee Relations and MOUs,27591,23917,0:01:12,6860,74.11,39.94,72,1.2
San Francisco Fire Department : Fire Station Locations,27572,23409,0:02:48,16407,79.39,65.1,168,2.8
San Francisco Department of Human Resources : Benefits Overview,27520,22887,0:02:05,7948,66.88,44.09,125,2.08
Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Rental Program Overview,27467,22675,0:02:18,10134,72.59,45.23,138,2.3
Office of Economic and Workforce Development : Home,27154,22151,0:01:11,21089,47.94,45.06,71,1.18
San Francisco Port Department : Cruise Lines,27039,10657,0:00:35,2550,8.24,22.67,35,0.58
"City and County of San Francisco : Departments, Divisions, Offices",26771,18340,0:00:37,1466,49.52,20.26,37,0.62
Business Taxes & Fees | Treasurer & Tax Collector,26673,16125,0:00:14,1031,12.61,2.91,14,0.23
Business Resource Center | Treasurer & Tax Collector,26627,18784,0:00:53,747,28.57,13.25,53,0.88
Mayor's Office of Housing and Community Development : BMR New-Rental Unit: 1010 16th Street,26426,19870,0:04:23,16832,69.09,63.29,263,4.38
Civil Service Commission,26294,19684,0:01:03,15641,38.09,33.03,63,1.05
San Francisco Police Department : Salary and Benefits,26173,22399,0:01:50,11699,56.83,42.13,110,1.83
Filing a Complaint | Department of Building Inspection,25680,19042,0:02:28,11914,61.32,56.05,148,2.47
San Francisco Public Works : Trees,25432,11233,0:00:36,7520,13.91,24.15,36,0.6
